"uniprot_id","enriched_term"
"Q17GF2","Nervous system development"
"Q17GI1","Nervous system development"
"Q17GP3","Nervous system development"
"Q17HG6","Nervous system development"
"Q17HS6","Nervous system development"
"Q17I67","Nervous system development"
"Q17IA0","Nervous system development"
"Q17IL0","Nervous system development"
"Q17K20","Nervous system development"
"Q17K67","Nervous system development"
"Q17K68","Nervous system development"
"Q17M42","Nervous system development"
"Q17MT6","Nervous system development"
"Q17MX1","Nervous system development"
"Q17MX6","Nervous system development"
"Q17MX7","Nervous system development"
"Q17N01","Nervous system development"
"Q17NC1","Nervous system development"
"Q17NJ1","Nervous system development"
"Q17NP6","Nervous system development"
"Q17PG3","Nervous system development"
"Q17PT9","Nervous system development"
"Q17PU2","Nervous system development"
"J9EAN8","Animal organ development"
"J9HTV7","Animal organ development"
"Q0C7B1","Animal organ development"
"Q0IE98","Animal organ development"
"Q0IE99","Animal organ development"
"Q0IFC5","Animal organ development"
"Q0IG29","Animal organ development"
"Q16FK4","Animal organ development"
"Q16G14","Animal organ development"
"Q16GK5","Animal organ development"
"Q16HK0","Animal organ development"
"Q16I15","Animal organ development"
"Q16IN4","Animal organ development"
"Q16KQ8","Animal organ development"
"Q16KQ9","Animal organ development"
"Q16KR0","Animal organ development"
"Q16L96","Animal organ development"
"Q16LU2","Animal organ development"
"Q16LX7","Animal organ development"
"Q16MK4","Animal organ development"
"Q16PT5","Animal organ development"
"Q16R65","Animal organ development"
"Q16RM1","Animal organ development"
"Q16SB0","Animal organ development"
"Q16TM2","Animal organ development"
"Q16TR7","Animal organ development"
"Q16U87","Animal organ development"
"Q16UC4","Animal organ development"
"Q16W03","Animal organ development"
"Q16WM1","Animal organ development"
"Q16WV5","Animal organ development"
"Q16XT3","Animal organ development"
"Q16Y82","Animal organ development"
"Q16YG3","Animal organ development"
"Q16YG5","Animal organ development"
"Q16YG8","Animal organ development"
"Q16YZ8","Animal organ development"
"Q16YZ9","Animal organ development"
"Q170K4","Animal organ development"
"Q170K8","Animal organ development"
"Q171J8","Animal organ development"
"Q172L3","Animal organ development"
"Q173B0","Animal organ development"
"Q174W8","Animal organ development"
"Q177R3","Animal organ development"
"Q177S2","Animal organ development"
"Q17A00","Animal organ development"
"Q17BK4","Animal organ development"
"Q17BN5","Animal organ development"
"Q17BY7","Animal organ development"
"Q17C29","Animal organ development"
"Q17C93","Animal organ development"
"Q17DL2","Animal organ development"
"Q17DM5","Animal organ development"
"Q17E44","Animal organ development"
"Q17EB3","Animal organ development"
"Q17EP7","Animal organ development"
"Q17F07","Animal organ development"
"Q17F08","Animal organ development"
"Q17F71","Animal organ development"
"Q17G69","Animal organ development"
"Q17GF2","Animal organ development"
"Q17GP3","Animal organ development"
"Q17HA9","Animal organ development"
"Q17HP2","Animal organ development"
"Q17HS6","Animal organ development"
"Q17I67","Animal organ development"
"Q17IA0","Animal organ development"
"Q17IK5","Animal organ development"
"Q17J33","Animal organ development"
"Q17JY3","Animal organ development"
"Q17K20","Animal organ development"
"Q17K58","Animal organ development"
"Q17K67","Animal organ development"
"Q17K68","Animal organ development"
"Q17KU1","Animal organ development"
"Q17L13","Animal organ development"
"Q17LA6","Animal organ development"
"Q17M42","Animal organ development"
"Q17MT6","Animal organ development"
"Q17MX1","Animal organ development"
"Q17MX6","Animal organ development"
"Q17MX7","Animal organ development"
"Q17NC1","Animal organ development"
"Q17NE5","Animal organ development"
"Q17NP6","Animal organ development"
"Q17PG3","Animal organ development"
"Q17PU2","Animal organ development"
"J9EAN8","Neurogenesis"
"Q0IE98","Neurogenesis"
"Q0IE99","Neurogenesis"
"Q0IFC5","Neurogenesis"
"Q0IG29","Neurogenesis"
"Q16FK4","Neurogenesis"
"Q16GL8","Neurogenesis"
"Q16HK0","Neurogenesis"
"Q16I15","Neurogenesis"
"Q16I88","Neurogenesis"
"Q16IN4","Neurogenesis"
"Q16L96","Neurogenesis"
"Q16LK0","Neurogenesis"
"Q16LU2","Neurogenesis"
"Q16LX7","Neurogenesis"
"Q16M53","Neurogenesis"
"Q16M54","Neurogenesis"
"Q16N85","Neurogenesis"
"Q16PP6","Neurogenesis"
"Q16R23","Neurogenesis"
"Q16R65","Neurogenesis"
"Q16RU6","Neurogenesis"
"Q16SB0","Neurogenesis"
"Q16UC4","Neurogenesis"
"Q16W03","Neurogenesis"
"Q16WF1","Neurogenesis"
"Q16WM1","Neurogenesis"
"Q16XT3","Neurogenesis"
"Q16Y82","Neurogenesis"
"Q16YG3","Neurogenesis"
"Q16YG8","Neurogenesis"
"Q16YZ8","Neurogenesis"
"Q16YZ9","Neurogenesis"
"Q16Z01","Neurogenesis"
"Q170K4","Neurogenesis"
"Q170K8","Neurogenesis"
"Q171J8","Neurogenesis"
"Q172L3","Neurogenesis"
"Q174K3","Neurogenesis"
"Q174W8","Neurogenesis"
"Q177R3","Neurogenesis"
"Q17BY7","Neurogenesis"
"Q17C29","Neurogenesis"
"Q17C39","Neurogenesis"
"Q17C93","Neurogenesis"
"Q17D24","Neurogenesis"
"Q17E44","Neurogenesis"
"Q17EB3","Neurogenesis"
"Q17F07","Neurogenesis"
"Q17F08","Neurogenesis"
"Q17F71","Neurogenesis"
"Q17GI1","Neurogenesis"
"Q17GP3","Neurogenesis"
"Q17HG6","Neurogenesis"
"Q17HS6","Neurogenesis"
"Q17I67","Neurogenesis"
"Q17IA0","Neurogenesis"
